userid,serviceid,lam1000,lam3000,lam5000,effencicy
1,1-4,0.34,0.97,1.73,1.75
1,1-3,0.33,0.98,1.72,1.74
1,1-2,0.41,1.1,1.59,1.71
1,1-1,0.43,0.92,1.68,1.8
2,2-5,0.4,0.97,1.59,1.74
2,2-4,0.31,0.91,1.6,1.69
2,2-3,0.33,1.02,1.79,1.88
2,2-2,0.21,1.14,1.75,1.89
2,2-1,0.3,1.21,1.62,1.62
3,3-1,0.31,1.01,1.78,1.86
4,4-2,0.39,1.03,1.66,1.75
4,4-1,0.3,0.91,1.91,2.0
5,5-2,0.39,1.03,1.74,1.86
5,5-1,0.47,0.83,2.0,2.0
6,6-1,0.42,1.0,1.6,1.74
7,7-2,0.38,0.92,1.57,1.61
7,7-1,0.32,0.98,1.87,1.95
8,8-2,0.26,0.93,1.6,1.6
8,8-1,0.32,0.96,1.66,1.77
9,9-2,0.36,1.08,1.49,1.67
9,9-1,0.56,1.08,1.74,1.8
10,10-4,0.33,0.97,1.78,1.84
10,10-3,0.42,0.87,1.6,1.63
10,10-2,0.4,1.01,1.74,1.87
10,10-1,0.27,1.0,1.67,1.81
11,11-1,0.34,1.16,1.61,1.62
12,12-4,0.3,1.08,1.73,1.88
12,12-3,0.35,1.06,1.77,1.9
12,12-2,0.46,0.93,1.4,1.4
12,12-1,0.32,1.0,1.52,1.61
13,13-4,0.3,1.02,1.55,1.71
13,13-3,0.47,1.01,1.76,1.83
13,13-2,0.28,0.93,1.64,1.66
13,13-1,0.51,1.07,1.84,1.88
14,14-3,0.33,1.06,1.66,2.0
14,14-2,0.3,0.96,1.62,1.63
14,14-1,0.4,0.7,1.91,1.97
15,15-5,0.3,1.21,1.54,1.68
15,15-4,0.41,0.97,1.57,1.79
15,15-3,0.43,0.98,1.59,1.7
15,15-2,0.33,1.07,1.65,1.73
15,15-1,0.39,1.08,1.54,1.61
16,16-2,0.28,1.0,1.76,1.85
16,16-1,0.38,1.11,1.6,1.69
17,17-4,0.24,0.98,1.52,1.63
17,17-3,0.33,1.03,1.52,1.66
17,17-2,0.36,0.99,1.52,1.54
17,17-1,0.43,1.16,1.7,1.79
18,18-2,0.3,1.06,1.85,1.94
18,18-1,0.22,0.95,1.57,1.63
19,19-4,0.34,1.31,1.71,1.78
19,19-3,0.41,1.0,1.61,1.87
19,19-2,0.35,1.1,1.58,1.63
19,19-1,0.29,1.09,1.54,1.83
20,20-3,0.34,0.8,1.56,1.7
20,20-2,0.32,1.24,1.66,1.75
20,20-1,0.47,0.85,1.49,1.57
21,21-5,0.28,0.84,1.65,1.75
21,21-4,0.26,1.02,1.63,1.77
21,21-3,0.45,0.99,1.57,1.6
21,21-2,0.36,0.99,1.67,1.78
21,21-1,0.3,1.01,1.65,1.74
22,22-1,0.39,1.08,1.49,1.98
23,23-1,0.37,0.91,1.83,1.85
24,24-1,0.34,1.01,1.75,1.81
25,25-4,0.25,0.84,1.75,1.88
25,25-3,0.29,1.1,1.84,1.88
25,25-2,0.31,0.99,0.02,1.25
25,25-1,0.39,1.1,1.58,1.64
26,26-4,0.39,1.11,1.76,1.8
26,26-3,0.37,0.95,1.59,1.72
26,26-2,0.44,0.88,1.42,1.48
26,26-1,0.32,0.89,1.78,1.82
27,27-4,0.37,0.9,1.44,1.65
27,27-3,0.29,1.13,1.71,1.74
27,27-2,0.41,0.99,0.02,1.53
27,27-1,0.29,0.96,1.7,1.79
28,28-5,0.28,1.07,1.71,1.86
28,28-4,0.41,1.04,1.69,1.71
