user_x,user_y,relation
1,1,1.0
1,740,0.58
1,327,0.02
1,868,0.12
1,221,0.36
1,346,0.39
1,946,0.11
1,216,0.05
1,252,0.4
1,444,0.19
1,590,0.34
2,2,1.0
2,602,0.84
2,726,0.96
3,3,1.0
3,891,0.47
3,282,0.79
3,555,0.25
3,867,0.09
3,975,0.6
3,120,0.46
3,531,0.29
3,155,0.24
3,532,0.73
3,684,0.64
3,380,0.02
3,72,0.64
3,51,0.95
4,4,1.0
4,447,0.66
4,112,0.63
4,872,0.28
4,687,0.15
4,388,0.43
4,648,0.0
4,50,0.89
4,926,0.3
4,538,0.59
4,292,0.03
4,267,0.21
4,832,0.42
4,128,0.74
4,50,0.7
4,478,0.31
4,542,0.56
4,99,0.03
5,5,1.0
6,6,1.0
6,200,0.38
6,872,0.34
6,350,0.37
6,774,0.52
6,163,0.85
6,453,0.05
6,590,0.43
6,814,0.9
6,536,0.27
6,628,0.58
6,18,0.03
6,870,0.64
6,464,0.41
7,7,1.0
7,155,0.78
7,243,0.95
7,550,0.04
7,619,0.18
7,700,0.29
7,566,0.39
7,324,0.73
7,680,0.6
7,793,0.53
7,955,0.02
7,872,0.19
7,362,0.18
8,8,1.0
8,17,0.04
8,145,0.55
8,969,0.69
8,281,0.88
8,215,0.14
8,611,0.69
8,430,0.39
8,601,0.04
8,312,0.01
8,711,0.91
8,314,0.69
8,207,0.66
8,733,0.54
8,213,0.97
8,622,0.64
8,808,0.4
8,147,0.47
8,263,0.05
8,800,0.11
9,9,1.0
9,245,0.99
10,10,1.0
10,752,0.45
10,531,0.78
10,426,0.25
10,139,0.85
10,497,0.89
10,289,0.28
10,491,0.56
10,159,0.92
10,157,0.7
10,905,0.55
10,347,0.93
10,790,0.4
10,396,0.23
10,327,0.76
10,759,0.82
11,11,1.0
11,885,0.17
11,815,0.3
11,371,0.85
11,967,0.97
11,694,0.38
11,633,0.63
11,770,0.9
11,751,0.66
12,12,1.0
12,79,0.49
12,442,0.27
12,723,0.74
12,970,0.99
12,928,0.48
13,13,1.0
13,247,0.54
13,98,0.62
13,843,0.12
13,717,0.46
13,873,0.24
13,440,0.26
13,237,0.61
13,166,0.32
13,553,0.17
13,716,0.53
13,63,0.14
13,896,0.99
13,158,0.59
13,889,0.06
14,14,1.0
14,988,0.18
14,540,0.09
14,937,0.63
14,30,0.34
14,975,0.81
14,872,0.11
14,275,0.41
14,548,0.89
15,15,1.0
16,16,1.0
16,932,0.2
16,704,0.17
16,417,0.38
16,573,0.71
16,730,0.31
16,861,0.7
16,888,0.35
16,435,0.23
16,567,0.76
16,327,0.33
16,74,0.26
16,86,0.05
16,659,0.21
16,417,0.94
17,17,1.0
17,584,0.2
17,325,0.78
17,508,0.12
17,573,0.24
17,928,0.46
17,29,0.36
17,368,0.53
17,939,0.45
17,697,0.62
17,79,0.98
17,535,0.77
17,896,0.85
18,18,1.0
18,136,0.26
18,268,0.05
18,650,0.35
18,926,0.51
18,761,0.81
19,19,1.0
19,131,0.22
19,429,0.63
19,617,0.28
19,265,0.6
20,20,1.0
20,110,0.09
20,28,0.08
